BOX_ID,x0,y0,z0,x1,y1,z1,SHELF_ID,BIN_ID,CAJA,DESCRIPCION,CANTIDAD
166,0.0,675.0,0.0,210.0,855.0,300.0,1,77,CAJA #3,EM.BOR.16.C19,10
166,590.0,700.0,0.0,800.0,880.0,300.0,1,77,CAJA #3,EM.BOR.16.C19,10
166,295.0,675.0,0.0,505.0,855.0,300.0,1,77,CAJA #3,EM.BOR.16.C19,10
241,0.0,0.0,350.0,295.0,225.0,700.0,2,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
241,295.0,0.0,350.0,590.0,225.0,700.0,2,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
241,0.0,225.0,350.0,295.0,450.0,700.0,2,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
241,590.0,0.0,350.0,815.0,350.0,645.0,2,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
241,295.0,225.0,350.0,590.0,450.0,700.0,2,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
241,0.0,450.0,350.0,295.0,675.0,700.0,2,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
241,590.0,350.0,350.0,815.0,700.0,645.0,2,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
241,295.0,450.0,350.0,590.0,675.0,700.0,2,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
166,0.0,675.0,350.0,210.0,855.0,650.0,2,77,CAJA #3,EM.BOR.16.C19,10
166,590.0,700.0,350.0,800.0,880.0,650.0,2,77,CAJA #3,EM.BOR.16.C19,10
166,295.0,675.0,350.0,505.0,855.0,650.0,2,77,CAJA #3,EM.BOR.16.C19,10
241,0.0,0.0,700.0,295.0,225.0,1050.0,3,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
242,295.0,0.0,700.0,590.0,225.0,1050.0,3,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
